"Screen","RootFiles","Subdirs","FileCount","HasIndex"
"About","index.tsx","components|related|types","4","True"
"Album","AlbumScreen.tsx|useAlbumScreen.ts","components","6","False"
"AllAudio","index.tsx","components|hooks|types","4","True"
"AllAudioScreen","","","0","False"
"AllPlaylists","index.tsx","components|hooks|types","4","True"
"AllPlaylistsScreen","","","0","False"
"AllVideos","index.tsx","components|hooks|types","4","True"
"AllVideosScreen","","","0","False"
"ArchiveItemDetailScreen","index.tsx","components|hooks|types","4","True"
"ArchiveScreen","index.tsx","browse|components|hooks|related|styles|types","7","True"
"Artist","ArtistScreen.tsx|useArtistScreen.ts","components","6","False"
"AudiobookDetailScreen","index.tsx","components|hooks|types","4","True"
"AudiobooksScreen","index.tsx","components|hooks|related|styles|types","6","True"
"AudioSettings","index.tsx","components|related|types","4","True"
"Bookmarks","index.tsx","components|hooks|related|types","5","True"
"Changelog","index.tsx","components|types","3","True"
"Credits","index.tsx","components|types","3","True"
"DownloadsScreen","index.tsx","components|hooks|types","4","True"
"Equalizer","index.tsx","","1","True"
"FolderBrowser","index.tsx","components|related|types","4","True"
"FolderLinkingWizard","FolderLinkingWizard.tsx","","1","False"
"Genre","GenreScreen.tsx|useGenreScreen.ts","","2","False"
"GenreScreen","","","0","False"
"Help","index.tsx","components|types","3","True"
"History","index.tsx","components|types","3","True"
"Home","index.tsx","components|hooks|related|styles|types","24","True"
"Library","AlbumDetailScreen.tsx|albumDetailTextContent.ts|ArtistDetailScreen.tsx|artistDetailTextContent.ts|index.tsx|textContent.ts","components|hooks|related|types","24","True"
"Licenses","index.tsx","components|types","3","True"
"LinkedFolders","index.tsx","components|related|types","4","True"
"LiveTVScreen","LiveTVScreen.tsx","hooks","2","False"
"LiveTVScreenNew","index.tsx|LiveTVFavoritesScreen.tsx","browse|components|hooks|styles|types","8","True"
"Login","index.tsx","components|hooks|related|types","5","True"
"MovieDetailScreen","index.tsx","components|hooks|types","4","True"
"MoviesScreen","index.tsx","components|hooks|related|styles|types","18","True"
"MusicDetailScreen","index.tsx","components|hooks|types","4","True"
"MusicScreen","index.tsx","browse|components|hooks|related|styles|types","18","True"
"NowPlaying","index.tsx","components|types","3","True"
"Player","","components","0","False"
"PlaylistDetail","index.tsx","components|hooks|related|types","5","True"
"PodcastDetailScreen","index.tsx","components|hooks|related|styles","12","True"
"PodcastsScreen","index.tsx","components|hooks|related|styles|types","22","True"
"Preferences","","","0","False"
"Privacy","index.tsx","components|types","3","True"
"Profile","index.tsx","components|types","3","True"
"QueueScreen","index.tsx","components|hooks|types","4","True"
"RadioScreenNew","index.tsx|RadioFavoritesScreen.tsx","browse|components|hooks|styles|types","8","True"
"Registration","","hooks","0","False"
"Search","index.tsx","components|hooks|related|types","13","True"
"sections","","components|hooks","0","False"
"Settings","index.tsx","components|hooks|related|types","11","True"
"ShowDetailScreen","index.tsx","components|hooks|types","4","True"
"ShowsScreen","ShowsScreen.tsx","browse|hooks","3","False"
"Song","SongScreen.tsx|useSongScreen.ts","components","6","False"
"Splash","index.tsx","components|related|types","4","True"
"Start","","","0","False"
"Stats","index.tsx","components|types","3","True"
"Terms","index.tsx","components|types","3","True"
