"Screen","HasIndex","RootTsx","InternalDirs"
"About","False","AboutScreen.tsx",""
"Album","False","AlbumScreen.tsx","components"
"AllAudio","False","AllAudioScreen.tsx",""
"AllAudioScreen","False","",""
"AllPlaylists","False","AllPlaylistsScreen.tsx",""
"AllPlaylistsScreen","False","",""
"AllVideos","False","AllVideosScreen.tsx",""
"AllVideosScreen","False","",""
"ArchiveItemDetailScreen","False","ArchiveItemDetailScreen.tsx","hooks"
"ArchiveScreen","True","index.tsx","browse|components|hooks|related|styles|types"
"Artist","False","ArtistScreen.tsx","components"
"AudiobookDetailScreen","False","AudiobookDetailScreen.tsx","hooks"
"AudiobooksScreen","True","index.tsx","components|hooks|related|styles|types"
"AudioSettings","False","AudioSettingsScreen.tsx",""
"Bookmarks","False","BookmarksScreen.tsx",""
"Changelog","False","ChangelogScreen.tsx",""
"Credits","False","CreditsScreen.tsx",""
"DownloadsScreen","False","DownloadsScreen.tsx",""
"Equalizer","False","EqualizerScreen.tsx",""
"FolderBrowser","False","FolderBrowserScreen.tsx",""
"FolderLinkingWizard","False","FolderLinkingWizard.tsx",""
"Genre","False","GenreScreen.tsx",""
"GenreScreen","False","",""
"Help","False","HelpScreen.tsx",""
"History","False","HistoryScreen.tsx",""
"Home","True","index.tsx","components|hooks|related|styles|types"
"Library","True","AlbumDetailScreen.tsx|ArtistDetailScreen.tsx|index.tsx","components|hooks|related|types"
"Licenses","False","LicensesScreen.tsx",""
"LinkedFolders","False","LinkedFoldersScreen.tsx",""
"LiveTVScreen","False","LiveTVScreen.tsx","hooks"
"LiveTVScreenNew","True","index.tsx|LiveTVFavoritesScreen.tsx","browse|components|hooks|styles|types"
"Login","True","index.tsx|LoginScreen.tsx","hooks"
"MovieDetailScreen","False","MovieDetailScreen.tsx","hooks"
"MoviesScreen","True","index.tsx","components|hooks|related|styles|types"
"MusicDetailScreen","False","MusicDetailScreen.tsx","hooks"
"MusicScreen","True","index.tsx","browse|components|hooks|related|styles|types"
"NowPlaying","False","NowPlayingScreen.tsx",""
"Player","False","","components"
"PlaylistDetail","False","PlaylistDetailScreen.tsx",""
"PodcastDetailScreen","True","index.tsx","components|hooks|related|styles"
"PodcastsScreen","True","index.tsx","components|hooks|related|styles|types"
"Preferences","False","",""
"Privacy","False","PrivacyScreen.tsx",""
"Profile","True","index.tsx|ProfileScreen.tsx",""
"QueueScreen","False","QueueScreen.tsx",""
"RadioScreenNew","True","index.tsx|RadioFavoritesScreen.tsx","browse|components|hooks|styles|types"
"Registration","False","","hooks"
"Search","False","SearchScreen.tsx","components|hooks"
"sections","False","","components|hooks"
"Settings","True","index.tsx|SettingsScreen.tsx","components|hooks"
"ShowDetailScreen","False","ShowDetailScreen.tsx","hooks"
"ShowsScreen","False","ShowsScreen.tsx","browse|hooks"
"Song","False","SongScreen.tsx","components"
"Splash","False","SplashScreen.tsx",""
"Start","False","",""
"Stats","False","StatsScreen.tsx",""
"Terms","False","TermsScreen.tsx",""
